order_id,order_date,customer_id,customer_name,product_name,category,quantity,unit_price,total_sales,payment_method
A10000,31/01/2026,C5691,Ricky Potter,without,Home,3,42467.79,94339.34,Card
A10001,20/01/2026,C9811,Chris Davenport,school,Home,2,36138.76,55043.88,COD
A10002,15/01/2026,C7341,Timothy Gallagher,I,Electronics,4,47148.93,162256.43,UPI
A10003,18/01/2026,C4012,Angela Collins,step,Electronics,1,18487.99,17492.86,Card
A10004,27/01/2026,C1328,David Davidson DDS,bit,Home,1,1742.25,1608.49,UPI
A10005,05/01/2026,C9019,Lauren Russell,through,Home,3,12618.95,29633.81,Card
A10006,04/01/2026,C9866,Heather Campos,page,Electronics,4,41577.60,156361.68,COD
A10007,07/02/2026,C2638,Elizabeth Thornton,choice,Home,4,21118.07,68483.73,COD
A10008,09/02/2026,C4823,Theresa Collins,like,Electronics,5,12891.02,62620.53,COD
A10009,24/01/2026,C9948,Chelsea Brown,example,Fashion,2,42438.49,74836.31,UPI
A10010,27/01/2026,C9288,Jamie Gamble,alone,Electronics,3,29556.04,64769.75,COD
A10011,17/01/2026,C6925,Antonio Allen,experience,Home,4,5542.35,15576.08,UPI
A10012,15/01/2026,C1171,Kyle Fuller,firm,Home,1,49691.03,48757.78,COD
A10013,02/01/2026,C9232,Veronica Villa,series,Electronics,2,2200.82,3950.30,COD
A10014,30/01/2026,C4714,Jennifer Dyer,method,Home,4,5722.45,17262.47,Card
A10015,25/01/2026,C1066,Dakota Henderson,little,Home,5,44104.27,158829.38,Card
A10016,31/01/2026,C3363,Thomas Thompson,specific,Home,3,39963.90,93585.51,NetBanking
A10017,01/01/2026,C5554,Mark Roberts,themselves,Home,2,12575.81,23670.32,Card
A10018,31/01/2026,C2204,Michelle Colon,pull,Electronics,2,19050.21,30884.66,Card
A10019,04/02/2026,C5064,Phyllis Farrell,ground,Electronics,4,19917.19,78200.23,COD
A10020,26/01/2026,C9069,Anthony Contreras,reach,Electronics,5,6996.65,27778.25,Card
A10021,07/02/2026,C6006,William Graves,cultural,Home,4,31380.18,114264.29,COD
A10022,21/01/2026,C5324,Sharon Randall,one,Fashion,2,36313.76,58133.46,COD
A10023,15/01/2026,C7001,David Carlson,watch,Fashion,3,45588.62,110880.68,Card
A10024,27/01/2026,C9013,Kristie Douglas,future,Fashion,5,23173.46,97456.87,COD
A10025,25/01/2026,C6977,Michael Atkins,but,Fashion,1,17305.63,12391.76,Card
A10026,02/02/2026,C9964,Christopher Larsen,camera,Fashion,3,10260.65,29607.80,COD
A10027,26/01/2026,C5658,Dr. Willie Pope,system,Electronics,3,11373.40,34241.67,COD
A10028,05/01/2026,C9543,Dennis Gutierrez,set,Electronics,5,7023.50,28490.53,NetBanking
A10029,13/01/2026,C1177,Patricia Rodriguez,son,Fashion,4,1038.68,3145.05,NetBanking
A10030,16/01/2026,C7260,Scott Johnson,recognize,Electronics,4,46779.63,176016.99,NetBanking
A10031,06/01/2026,C6347,Rickey Foster,ability,Home,3,15345.20,42960.16,NetBanking
A10032,03/02/2026,C8538,Paige Williams,who,Electronics,5,38953.82,175360.52,COD
A10033,29/01/2026,C8881,Stephen Smith,environment,Electronics,2,32718.59,60262.38,Card
A10034,14/01/2026,C5483,Christine Hartman,authority,Home,4,49095.73,184700.72,Card
A10035,26/01/2026,C4205,Randall Williams,coach,Fashion,5,15493.40,64388.55,Card
A10036,03/02/2026,C5260,Jeffrey Zhang,town,Home,5,23967.96,97130.37,UPI
A10037,19/01/2026,C6017,Christina Arnold,look,Fashion,1,33163.41,33187.14,Card
A10038,08/02/2026,C4061,Molly Miranda,computer,Fashion,2,44335.48,73704.44,UPI
A10039,18/01/2026,C9061,Kathleen Cox,bed,Fashion,5,45342.26,188228.09,Card
A10040,25/01/2026,C1549,Michael Hall,sign,Fashion,5,32604.47,141964.06,UPI
A10041,20/01/2026,C3074,James Goodman,car,Electronics,3,44612.43,131297.94,COD
A10042,09/01/2026,C9843,Patrick Callahan,still,Home,2,37565.29,63929.43,UPI
A10043,04/02/2026,C9457,Marie Scott PhD,mother,Electronics,1,37404.81,34819.37,COD
A10044,07/01/2026,C5410,Tara Vang,back,Electronics,5,45130.57,187334.61,NetBanking
A10045,07/01/2026,C5749,Tiffany Simpson PhD,then,Home,2,48196.22,93551.51,NetBanking
A10046,28/01/2026,C1779,Michelle Ball,have,Electronics,5,43400.58,173694.97,Card
A10047,07/02/2026,C7431,Tony Rogers,shoulder,Home,4,33676.94,124079.79,COD
